"","Winner","Wins","Losses","n","WinPerc","Prob"
"1","'R'm Chair Quarterback",0,4,8,0,0.08
"2","'R'm Chair Quarterback",1,3,32,0.25,0.32
"3","'R'm Chair Quarterback",2,2,40,0.5,0.4
"4","'R'm Chair Quarterback",3,1,18,0.75,0.18
"5","'R'm Chair Quarterback",4,0,2,1,0.02
"6","Analysis Paralysis",0,4,15,0,0.15
"7","Analysis Paralysis",1,3,25,0.25,0.25
"8","Analysis Paralysis",2,2,40,0.5,0.4
"9","Analysis Paralysis",3,1,18,0.75,0.18
"10","Analysis Paralysis",4,0,2,1,0.02
"11","Compute This!",0,4,5,0,0.05
"12","Compute This!",1,3,17,0.25,0.17
"13","Compute This!",2,2,31,0.5,0.31
"14","Compute This!",3,1,30,0.75,0.3
"15","Compute This!",4,0,17,1,0.17
"16","Dallas The boys",0,4,12,0,0.12
"17","Dallas The boys",1,3,27,0.25,0.27
"18","Dallas The boys",2,2,33,0.5,0.33
"19","Dallas The boys",3,1,26,0.75,0.26
"20","Dallas The boys",4,0,2,1,0.02
"21","Palindrome Tikkit",0,4,1,0,0.01
"22","Palindrome Tikkit",1,3,20,0.25,0.2
"23","Palindrome Tikkit",2,2,41,0.5,0.41
"24","Palindrome Tikkit",3,1,30,0.75,0.3
"25","Palindrome Tikkit",4,0,8,1,0.08
"26","Philly Chapmaniacs",0,4,7,0,0.07
"27","Philly Chapmaniacs",1,3,39,0.25,0.39
"28","Philly Chapmaniacs",2,2,38,0.5,0.38
"29","Philly Chapmaniacs",3,1,14,0.75,0.14
"30","Philly Chapmaniacs",4,0,2,1,0.02
"31","Team Ward",0,4,11,0,0.11
"32","Team Ward",1,3,30,0.25,0.3
"33","Team Ward",2,2,35,0.5,0.35
"34","Team Ward",3,1,20,0.75,0.2
"35","Team Ward",4,0,4,1,0.04
"36","The Chief",1,3,7,0.25,0.07
"37","The Chief",2,2,30,0.5,0.3
"38","The Chief",3,1,46,0.75,0.46
"39","The Chief",4,0,17,1,0.17
"40","The OBJective Functions",0,4,4,0,0.04
"41","The OBJective Functions",1,3,17,0.25,0.17
"42","The OBJective Functions",2,2,41,0.5,0.41
"43","The OBJective Functions",3,1,27,0.75,0.27
"44","The OBJective Functions",4,0,11,1,0.11
"45","The Plainsmen",0,4,9,0,0.09
"46","The Plainsmen",1,3,26,0.25,0.26
"47","The Plainsmen",2,2,42,0.5,0.42
"48","The Plainsmen",3,1,21,0.75,0.21
"49","The Plainsmen",4,0,2,1,0.02
